t,mode_before,mode_after,gesture,gesture_conf,face_detected,time_since_face_s,hand_detected,time_since_hand_s,key,battery,altitude_cm,reason,command,det_reason,face,hand,llm_reason,mode,t_any
1770721661.1716726,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721662.1695335,,,,,,,,,,92.0,-10.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721663.1709986,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.06351971626281738
1770721664.17234,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.0648584365844727
1770721665.04953,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721666.0353177,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721667.04834,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721668.0899177,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721669.1215475,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721670.1095614,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721671.1457064,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721672.1791553,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721672.57272,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721673.606045,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721674.6575837,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721675.6555486,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721676.6593094,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721677.6799383,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721678.7103183,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721679.7263074,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721680.766819,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721681.5233874,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721682.5066035,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721683.5213153,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,False,False,,face,0.3390216827392578
1770721684.006467,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.8246378898620605
1770721685.0124958,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.830716609954834
1770721686.0355172,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,2.832805633544922
1770721687.0357795,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,3.83298397064209
1770721688.0331416,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,4.85135293006897
1770721689.0648358,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,5.882993221282959
1770721690.066183,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,6.884356737136841
1770721691.072876,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,7.891112327575684
1770721692.0981236,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,8.916290760040283
1770721693.1226497,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,9.92072582244873
1770721694.1145658,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721695.1402943,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721696.1595082,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721697.1722891,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721698.174007,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721699.1963105,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721700.204158,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,True,,hover,0.0
1770721701.2274919,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.7393045425415039
1770721702.2534175,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.741093635559082
1770721703.2568576,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,2.741743803024292
1770721704.1566546,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721705.1469042,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721706.2008948,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721706.870371,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721707.906277,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721708.059991,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721708.5343757,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721709.5879025,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721710.622129,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721711.62901,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721712.6339,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721713.6630042,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721714.6794596,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721714.809595,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721715.8038242,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721716.8330755,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721717.8440158,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721718.8485076,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721719.8608563,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721720.1556883,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,True,,gesture,0.0
1770721721.138706,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721721.3525996,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721721.5723548,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),False,True,,gesture,0.0
1770721722.632369,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),True,False,,gesture,0.0
1770721723.188859,,,,,,,,,,92.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721723.8366964,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),False,True,,gesture,0.0
1770721724.8734725,,,,,,,,,,92.0,0.0,,ground,Perception: hand_detected -> gesture (preempts face),False,False,,gesture,1.036849021911621
1770721725.04891,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.1590332984924316
1770721726.0018914,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.7867169380187988
1770721727.0053682,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.7901880741119385
1770721728.0337672,,,,,,,,,,92.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,2.7919890880584717
1770721729.0198023,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,3.804628849029541
1770721730.0276747,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,4.812469720840454
1770721731.0581117,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,5.842923879623413
1770721731.4773726,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721732.4781678,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721733.4586515,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721734.4998329,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721735.4713423,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721736.4976263,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721737.5209575,,,,,,,,,,91.0,0.0,,ground,Perception: face_detected -> face,True,False,,face,0.0
1770721738.4058232,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,0.8032896518707275
1770721739.4010112,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,1.8060550689697266
1770721740.3956537,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,2.822775363922119
1770721741.4120846,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,3.83923602104187
1770721742.432329,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,4.859406232833862
1770721743.4575922,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,5.859747409820557
1770721744.4515932,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,6.878750562667847
1770721745.4695508,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,7.896714687347412
1770721746.4804542,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,8.90743374824524
1770721747.5060117,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,9.91105055809021
1770721747.5935557,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 10.0s -> search_360,False,False,,search_360,10.020673036575317
1770721748.6058466,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 10.0s -> search_360,False,False,,search_360,11.033014297485352
1770721749.6222684,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 10.0s -> search_360,False,False,,search_360,12.04944133758545
1770721750.6251988,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 10.0s -> search_360,False,False,,search_360,13.052371978759766
1770721751.647129,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 10.0s -> search_360,False,False,,search_360,14.074177742004395
1770721752.5978155,,,,,,,,,,91.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,15.006735563278198
1770721753.5811734,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,16.00833773612976
1770721754.6027868,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,17.012222290039062
1770721755.5866654,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,18.013819932937622
1770721756.6088128,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,19.03597402572632
1770721757.6179929,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,20.04515242576599
1770721758.640912,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,21.0460205078125
1770721759.6314185,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,22.058583736419678
1770721760.6349964,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,23.062163829803467
1770721761.6381917,,,,,,,,,,91.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,24.065357446670532
1770721762.6087458,,,,,,,,,,91.0,0.0,,ground,Autonomy: no human for 25.0s -> search_360,False,False,,search_360,25.01860761642456
1770721763.605848,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 25.0s -> search_360,False,False,,search_360,26.033018112182617
1770721764.6116908,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 25.0s -> search_360,False,False,,search_360,27.038854598999023
1770721765.6325424,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 25.0s -> search_360,False,False,,search_360,28.039644241333008
1770721766.625828,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 25.0s -> search_360,False,False,,search_360,29.052997589111328
1770721767.6097713,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,30.019476175308228
1770721768.6119566,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,31.039116859436035
1770721769.6348336,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,32.06199526786804
1770721770.6362486,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,33.06341338157654
1770721771.6553597,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,34.08252263069153
1770721772.6727664,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,35.09993314743042
1770721773.6944091,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,36.10313129425049
1770721774.693254,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,37.12041091918945
1770721775.693789,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,38.12095403671265
1770721776.712102,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,39.12239861488342
1770721777.6310217,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 40.0s -> search_360,False,False,,search_360,40.035783767700195
1770721778.6108246,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 40.0s -> search_360,False,False,,search_360,41.03799605369568
1770721779.6228125,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 40.0s -> search_360,False,False,,search_360,42.04998230934143
1770721780.6520498,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 40.0s -> search_360,False,False,,search_360,43.07921552658081
1770721781.6866026,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 40.0s -> search_360,False,False,,search_360,44.11377143859863
1770721782.6489923,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,45.0549533367157
1770721783.635078,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,46.06223773956299
1770721784.6572003,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,47.0635130405426
1770721785.6518605,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,48.07902479171753
1770721786.672797,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,49.09996461868286
1770721787.6776252,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,50.104788064956665
1770721788.684025,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,51.11118173599243
1770721789.6900709,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,52.11724090576172
1770721790.7008355,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,53.128002643585205
1770721791.7228606,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,54.13024067878723
1770721792.65037,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 55.1s -> search_360,False,False,,search_360,55.05255126953125
1770721793.63174,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 55.1s -> search_360,False,False,,search_360,56.0589120388031
1770721794.6474962,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 55.1s -> search_360,False,False,,search_360,57.07466220855713
1770721795.648043,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 55.1s -> search_360,False,False,,search_360,58.07521033287048
1770721796.6642518,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 55.1s -> search_360,False,False,,search_360,59.09139561653137
1770721797.6548564,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,60.06107139587402
1770721798.6387556,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,61.06592154502869
1770721799.649546,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,62.076709032058716
1770721800.6496816,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,63.076844930648804
1770721801.6535122,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,64.08067798614502
1770721802.6748545,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,65.08302521705627
1770721803.6725788,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,66.09974098205566
1770721804.6770453,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,67.10421085357666
1770721805.688563,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,68.11572694778442
1770721806.7011483,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,69.12831497192383
1770721807.684239,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 70.1s -> search_360,False,False,,search_360,70.08269095420837
1770721808.6628609,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 70.1s -> search_360,False,False,,search_360,71.09002137184143
1770721809.675846,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 70.1s -> search_360,False,False,,search_360,72.10301685333252
1770721810.6886735,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 70.1s -> search_360,False,False,,search_360,73.11583685874939
1770721811.7075257,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 70.1s -> search_360,False,False,,search_360,74.13469672203064
1770721812.7078903,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,75.11220383644104
1770721813.702768,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,76.12993383407593
1770721814.7028065,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,77.12997198104858
1770721815.7147887,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,78.14193177223206
1770721816.7308638,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,79.15802669525146
1770721817.7387655,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,80.16592693328857
1770721818.7400174,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,81.16717624664307
1770721819.7683516,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,82.17051529884338
1770721820.7560115,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,83.18317651748657
1770721821.7615652,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,84.18872165679932
1770721822.7091541,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 85.1s -> search_360,False,False,,search_360,85.11220073699951
1770721823.6877952,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 85.1s -> search_360,False,False,,search_360,86.11496210098267
1770721824.6911714,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 85.1s -> search_360,False,False,,search_360,87.11834120750427
1770721825.702299,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 85.1s -> search_360,False,False,,search_360,88.12946319580078
1770721826.7095478,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 85.1s -> search_360,False,False,,search_360,89.13671731948853
1770721827.738213,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,90.13952326774597
1770721828.731003,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,91.15816187858582
1770721829.7420633,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,92.16923475265503
1770721830.747779,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,93.17494249343872
1770721831.767785,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,94.19494962692261
1770721832.7684944,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,95.19565224647522
1770721833.7854712,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,96.21263933181763
1770721834.7946475,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,97.22180604934692
1770721835.8140814,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,98.24124455451965
1770721836.8293436,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,99.256511926651
1770721837.7605124,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 100.2s -> search_360,False,False,,search_360,100.16640710830688
1770721838.7506652,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 100.2s -> search_360,False,False,,search_360,101.17783546447754
1770721839.7573953,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 100.2s -> search_360,False,False,,search_360,102.18456625938416
1770721840.7757263,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 100.2s -> search_360,False,False,,search_360,103.20289659500122
1770721841.8028672,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 100.2s -> search_360,False,False,,search_360,104.23003768920898
1770721842.7808642,,,,,,,,,,90.0,0.0,,ground,Autonomy: search done (5s) -> hover,False,False,,hover,105.18842887878418
1770721843.7827694,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,106.20993208885193
1770721844.7921824,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,107.21934819221497
1770721845.794583,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,108.22174644470215
1770721846.7973478,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,109.22441744804382
1770721847.8396113,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,110.26670551300049
1770721848.8551905,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,111.28234910964966
1770721849.8658223,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,112.29298138618469
1770721850.8848748,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,113.31200051307678
1770721851.917291,,,,,,,,,,90.0,0.0,,ground,Autonomy: no intent -> hover,False,False,,hover,114.34431910514832
1770721852.8066223,,,,,,,,,,90.0,0.0,,ground,Autonomy: no human for 115.2s -> search_360,False,False,,search_360,115.20293664932251
