t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_raw,rule_name,rule_conf,fb_stable_count,battery
1789908907.0485861,284,10.79,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.1409438,286,3.8,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.2186732,288,11.88,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.279604,290,1.0,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.3722124,292,3.07,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.481407,294,9.62,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.542013,296,7.63,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.6495297,298,10.17,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.7094939,300,5.86,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.8179836,302,10.63,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.8798177,304,9.94,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908907.9722877,306,1.03,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.0487347,308,11.63,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.1409204,310,5.01,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.2185774,312,13.36,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.2807503,314,2.99,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.3734944,316,4.88,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
1789908908.4807262,318,11.27,0,0,5,FORWARD,hold,1,0.38059818,1.020263,,,,,UP-FORWARD,UP-FORWARD,1.0,3,100.0
1789908908.5420089,320,5.08,0,0,5,FORWARD,hold,1,0.54058152,0.420347,,,,,UP-FORWARD,UP-FORWARD,1.0,4,100.0
1789908908.636111,322,1.03,0,0,5,FORWARD,hold,1,0.64399648,0.191303,,,,,UP-FORWARD,UP-FORWARD,1.0,5,100.0
1789908908.7106965,324,6.28,0,0,5,FORWARD,hold,1,0.67632419,0.050199,,,,,UP,UP,1.0,1,100.0
1789908908.8046906,326,3.43,0,0,5,FORWARD,hold,1,0.6504099,-0.038316,,,,,UP,UP,1.0,2,100.0
1789908908.8806329,328,10.94,0,0,5,FORWARD,hold,1,0.60905892,-0.063577,,,,,UP,UP,1.0,3,100.0
1789908908.9733763,330,2.07,0,0,5,FORWARD,hold,1,0.5572825,-0.085011,,,,,UP,UP,1.0,4,100.0
1789908909.0508425,332,12.59,0,0,5,FORWARD,hold,1,0.51392173,-0.077808,,,,,UP,UP,1.0,5,100.0
1789908909.1460564,334,11.53,0,0,5,FORWARD,hold,1,0.4699305,-0.085599,,,,,UP,UP,1.0,6,100.0
1789908909.2061353,336,4.0,0,0,5,FORWARD,hold,1,0.43428102,-0.075861,,,,,UP,UP,1.0,7,100.0
1789908909.282797,338,5.24,0,0,5,FORWARD,hold,1,0.39608396,-0.087955,,,,,UP,UP,1.0,8,100.0
1789908909.3757641,340,9.14,0,0,5,FORWARD,hold,1,0.35872193,-0.094329,,,,,UP,UP,1.0,9,100.0
1789908909.4837635,342,8.91,0,0,5,FORWARD,hold,1,0.32224354,-0.10169,,,,,UP,UP,1.0,10,100.0
1789908909.5452828,344,7.86,0,0,5,FORWARD,hold,1,0.28811595,-0.105906,,,,,UP,UP,1.0,11,100.0
1789908909.6376069,346,3.18,0,0,5,FORWARD,hold,1,0.25337078,-0.120594,,,,,UP,UP,1.0,12,100.0
1789908909.715452,348,11.43,0,0,5,FORWARD,hold,1,0.22584634,-0.108633,,,,,UP,UP,1.0,13,100.0
1789908909.8069289,350,4.85,0,0,5,FORWARD,hold,1,0.20115236,-0.10934,,,,,UP,UP,0.9964,14,100.0
1789908909.8847744,352,14.91,0,0,5,FORWARD,hold,1,0.18034142,-0.103459,,,,,UP,UP,0.9667,15,100.0
1789908909.976765,354,8.6,0,0,5,FORWARD,hold,1,0.16138129,-0.105135,,,,,UP,UP,0.934,16,100.0
1789908910.0394464,356,3.85,0,0,5,FORWARD,hold,1,0.1433175,-0.111932,,,,,UP,UP,0.9068,17,100.0
1789908910.1484597,358,9.91,0,0,5,FORWARD,hold,1,0.12732937,-0.111557,,,,,UP,UP,0.8819,18,100.0
1789908910.2094538,360,5.16,0,0,5,FORWARD,hold,1,0.11362348,-0.107641,,,,,UP,UP,0.8562,19,100.0
1789908910.2855203,362,7.13,0,0,5,FORWARD,hold,1,0.10019454,-0.118188,,,,,UP,UP,0.8337,20,100.0
1789908910.378103,364,9.25,0,0,5,FORWARD,hold,1,0.08941186,-0.107617,,,,,UP,UP,0.8116,21,100.0
1789908910.4872026,366,11.14,0,0,5,FORWARD,hold,1,0.0793333,-0.112721,,,,,UP,UP,0.7882,22,100.0
1789908910.5487592,368,13.18,0,0,5,FORWARD,hold,1,0.07270649,-0.083531,,,,,UP,UP,0.7699,23,100.0
1789908910.6420121,370,4.11,0,0,5,FORWARD,hold,1,0.07527175,0.035282,,,,,UP,UP,0.7696,24,100.0
1789908910.7056346,372,4.11,0,0,5,FORWARD,hold,1,0.088004,0.169151,,,,,UP,UP,0.799,25,100.0
1789908910.8142698,374,9.38,0,0,5,FORWARD,hold,1,0.13084809,0.486843,,,,,UP-FORWARD,UP,0.9249,1,100.0
1789908910.8762941,376,4.08,0,0,5,FORWARD,hold,1,0.22078337,0.687326,,,,,UP-FORWARD,UP-FORWARD,1.0,2,100.0
1789908910.9693277,378,1.03,0,0,5,FORWARD,hold,1,0.35005542,0.585515,,,,,UP-FORWARD,UP-FORWARD,1.0,3,100.0
1789908911.0457702,380,8.74,0,0,5,FORWARD,hold,1,0.47650337,0.361223,,,,,UP-FORWARD,UP-FORWARD,1.0,4,100.0
1789908911.138638,382,4.23,0,0,5,FORWARD,hold,1,0.59021744,0.238643,,,,,UP-FORWARD,UP-FORWARD,1.0,5,100.0
1789908916.215011,504,7.94,0,1,6,BACK,hold,1,0.48007694,-0.015353,,,,,UP,UP,1.0,12,100.0
1789908916.2774215,506,1.0,0,1,6,BACK,hold,1,0.46553319,-0.030295,,,,,UP,UP,1.0,13,100.0
1789908916.4782865,510,6.64,0,1,6,BACK,hold,1,0.4473794,-0.038996,,,,,UP,UP,1.0,14,100.0
1789908916.5407538,512,5.65,0,1,6,BACK,hold,1,0.42240357,-0.055827,,,,,UP,UP,1.0,15,100.0
1789908916.6645794,514,4.7,0,1,6,BACK,hold,1,0.41380993,-0.020345,,,,,UP,UP,1.0,16,100.0
1789908916.7106485,516,5.83,0,1,6,BACK,hold,1,0.39116793,-0.054716,,,,,UP,UP,1.0,17,100.0
1789908916.835703,518,6.76,0,1,6,BACK,hold,1,0.35664137,-0.088265,,,,,UP,UP,1.0,18,100.0
1789908916.9743202,522,4.08,0,1,6,BACK,hold,1,0.34255079,-0.039509,,,,,UP,UP,1.0,19,100.0
1789908917.0533655,524,14.43,0,1,6,BACK,hold,1,0.33309045,-0.027617,,,,,UP,UP,1.0,20,100.0
1789908917.145272,526,3.86,0,1,6,BACK,hold,1,0.32402246,-0.027224,,,,,UP,UP,1.0,21,100.0
1789908917.2229574,528,11.0,0,1,6,BACK,hold,1,0.31704047,-0.021548,,,,,UP,UP,1.0,22,100.0
1789908917.282799,530,2.09,0,1,6,BACK,hold,1,0.31712867,0.000278,,,,,UP,UP,1.0,23,100.0
1789908917.4829674,534,11.54,0,1,6,BACK,hold,1,0.31961536,0.007841,,,,,UP,UP,1.0,24,100.0
1789908917.5450618,536,9.97,0,1,6,BACK,hold,1,0.31843779,-0.003684,,,,,UP,UP,1.0,25,100.0
1789908917.638239,538,4.02,0,1,6,BACK,hold,1,0.30562129,-0.040248,,,,,UP,UP,1.0,26,100.0
1789908917.7142124,540,11.97,0,1,6,BACK,hold,1,0.27794331,-0.090563,,,,,UP,UP,1.0,27,100.0
1789908917.9016812,544,5.08,0,1,6,BACK,hold,1,0.20327981,-0.268629,,,,,UP-BACK,UP,0.9916,1,100.0
1789908917.976787,546,6.06,0,1,6,BACK,hold,1,0.14965432,-0.263801,,,,,UP-BACK,UP-BACK,0.894,2,100.0
1789908918.3168168,554,8.07,0,1,6,BACK,hold,1,0.10724896,-0.283355,,,,,UP-BACK,UP-BACK,0.8245,3,100.0
1789908918.3931909,556,12.36,0,1,6,BACK,hold,1,0.08170474,-0.238177,,,,,UP-BACK,UP-BACK,0.7787,4,100.0
1789908918.4706283,558,3.95,0,1,6,BACK,hold,1,0.06584001,-0.194172,,,,,UP-BACK,UP-BACK,0.7473,5,100.0
1789908918.5489182,560,14.32,0,1,6,BACK,hold,1,0.05619691,-0.146463,,,,,UP,UP,0.7262,1,100.0
1789908918.641642,562,6.21,0,1,6,BACK,hold,1,0.05035386,-0.103975,,,,,UP,UP,0.7137,2,100.0
1789908918.7033305,564,4.65,0,1,6,BACK,hold,1,0.0465092,-0.076353,,,,,UP,UP,0.7051,3,100.0
1789908918.8124087,566,10.06,0,1,6,BACK,hold,1,0.04416095,-0.05049,,,,,CENTER,CENTER,0.5,1,100.0
1789908918.8736203,568,4.63,0,1,6,BACK,hold,1,0.04244132,-0.03894,,,,,CENTER,CENTER,0.5,2,100.0
1789908918.997769,570,10.11,0,1,6,BACK,hold,1,0.04149536,-0.022289,,,,,CENTER,CENTER,0.5,3,100.0
1789908919.0596876,572,4.99,0,1,6,BACK,hold,1,0.04094612,-0.013236,,,,,CENTER,CENTER,0.5,4,100.0
1789908919.1362948,574,3.07,0,1,6,BACK,hold,1,0.04091175,-0.000839,,,,,CENTER,CENTER,0.5,5,100.0
1789908919.2128363,576,10.65,0,1,6,BACK,hold,1,0.04108299,0.004186,,,,,CENTER,CENTER,0.5,6,100.0
1789908919.2903867,578,2.07,0,1,6,BACK,hold,1,0.04163877,0.013528,,,,,CENTER,CENTER,0.5,7,100.0
1789908919.3685534,580,2.0,0,1,6,BACK,hold,1,0.04235183,0.017125,,,,,CENTER,CENTER,0.5,8,100.0
1789908919.474901,582,6.34,0,1,6,BACK,hold,1,0.04328561,0.022048,,,,,CENTER,CENTER,0.5,9,100.0
1789908919.5523221,584,14.24,0,1,6,BACK,hold,1,0.0447099,0.032905,,,,,UP,UP,0.7014,1,100.0
1789908919.7055314,588,6.05,0,1,6,BACK,hold,1,0.04773513,0.067663,,,,,UP,UP,0.7083,2,100.0
1789908919.9862368,594,10.1,0,1,6,BACK,hold,1,0.05425276,0.136537,,,,,UP,UP,0.7265,3,100.0
1789908920.0466132,596,1.08,0,1,6,BACK,hold,1,0.06021808,0.109954,,,,,UP,UP,0.7412,4,100.0
1789908920.1259212,598,12.78,0,1,6,BACK,hold,1,0.06598625,0.095788,,,,,UP,UP,0.7529,5,100.0
1789908920.2197182,600,5.05,0,1,6,BACK,hold,1,0.07105192,0.076769,,,,,UP,UP,0.7627,6,100.0
1789908920.2811735,602,1.03,0,1,6,BACK,hold,1,0.07596385,0.069132,,,,,UP,UP,0.7714,7,100.0
1789908920.3741403,604,4.01,0,1,6,BACK,hold,1,0.08027608,0.056767,,,,,UP,UP,0.7793,8,100.0
1789908920.4520915,606,15.59,0,1,6,BACK,hold,1,0.08508688,0.059928,,,,,UP,UP,0.7889,9,100.0
1789908920.5457468,608,12.26,0,1,6,BACK,hold,1,0.08946258,0.051426,,,,,UP,UP,0.7981,10,100.0
1789908920.607246,610,9.13,0,1,6,BACK,hold,1,0.09428883,0.053947,,,,,UP,UP,0.8071,11,100.0
1789908920.7155704,612,13.0,0,1,6,BACK,hold,1,0.10007594,0.061376,,,,,UP,UP,0.8175,12,100.0
1789908920.7778747,614,8.98,0,1,6,BACK,hold,1,0.10695059,0.068694,,,,,UP,UP,0.8292,13,100.0
1789908920.8710024,616,4.61,0,1,6,BACK,hold,1,0.11412205,0.067054,,,,,UP,UP,0.8399,14,100.0
1789908920.948551,618,11.69,0,1,6,BACK,hold,1,0.12111774,0.0613,,,,,UP,UP,0.8524,15,100.0
1789908921.041231,620,6.81,0,1,6,BACK,hold,1,0.12842276,0.060313,,,,,UP,UP,0.861,16,100.0
1789908921.1032505,622,1.99,0,1,6,BACK,hold,1,0.1350954,0.051958,,,,,UP,UP,0.8692,17,100.0
1789908921.2105365,624,7.02,0,1,6,BACK,hold,1,0.14077342,0.04203,,,,,UP,UP,0.8737,18,100.0
1789908921.2720437,626,3.04,0,1,6,BACK,hold,1,0.14644816,0.040311,,,,,UP,UP,0.8763,19,100.0
1789908921.3667548,628,1.03,0,1,6,BACK,hold,1,0.1526636,0.042441,,,,,UP,UP,0.881,20,100.0
1789908921.4421194,630,7.4,0,1,6,BACK,hold,1,0.1597118,0.046168,,,,,UP,UP,0.8864,21,100.0
1789908921.5494432,632,14.17,0,1,6,BACK,hold,1,0.17134353,0.072829,,,,,UP,UP,0.8971,22,100.0
1789908921.610405,634,9.13,0,1,6,BACK,hold,1,0.18357042,0.071359,,,,,UP,UP,0.9079,23,100.0
1789908921.7052996,636,4.02,0,1,6,BACK,hold,1,0.19777499,0.077379,,,,,UP,UP,0.9198,24,100.0
1789908921.781153,638,13.5,0,1,6,BACK,hold,1,0.21087371,0.06623,,,,,UP,UP,0.9319,25,100.0
1789908921.8733013,640,5.16,0,1,6,BACK,hold,1,0.22219226,0.053675,,,,,UP,UP,0.9452,26,100.0
1789908921.9343424,642,1.0,0,1,6,BACK,hold,1,0.23034811,0.036706,,,,,UP,UP,0.9564,27,100.0
1789908922.0438185,644,8.12,0,1,6,BACK,hold,1,0.24437794,0.060907,,,,,UP,UP,0.9678,28,100.0
1789908922.1043713,646,3.32,0,1,6,BACK,hold,1,0.26027709,0.06506,,,,,UP,UP,0.9904,29,100.0
1789908927.206014,768,5.53,0,2,4,DOWN,hold,1,0.00913132,-0.220665,,,,,BACK,BACK,0.6049,3,100.0
1789908927.2839706,770,14.67,0,2,4,DOWN,hold,1,0.0106829,0.169919,,,,,CENTER,CENTER,0.5,1,100.0
1789908927.377189,772,3.96,0,2,4,DOWN,hold,1,0.01422068,0.331163,,,,,FORWARD,CENTER,0.564,1,100.0
1789908927.4375236,774,3.07,0,2,4,DOWN,hold,1,0.01644345,0.156305,,,,,CENTER,CENTER,0.5,1,100.0
1789908927.54688,776,14.24,0,2,4,DOWN,hold,1,0.01858465,0.130216,,,,,CENTER,CENTER,0.5,2,100.0
1789908927.6075509,778,7.21,0,2,4,DOWN,hold,1,0.02006081,0.079429,,,,,CENTER,CENTER,0.5,3,100.0
1789908927.715148,780,14.26,0,2,4,DOWN,hold,1,0.02081942,0.037815,,,,,CENTER,CENTER,0.5,4,100.0
1789908927.7776484,782,8.8,0,2,4,DOWN,hold,1,0.0215136,0.033343,,,,,CENTER,CENTER,0.5,5,100.0
1789908927.8856637,784,15.08,0,2,4,DOWN,hold,1,0.02262116,0.051482,,,,,CENTER,CENTER,0.5,6,100.0
1789908927.9458551,786,10.45,0,2,4,DOWN,hold,0,,,,,,,,,,6,100.0
1789908928.0380566,788,1.0,0,2,4,DOWN,hold,1,0.03419376,0.511583,,,,,FORWARD,CENTER,0.6832,1,100.0
1789908928.1004527,790,2.0,0,2,4,DOWN,hold,1,0.04793329,0.401814,,,,,DOWN-FORWARD,DOWN,0.8248,1,100.0
1789908928.2093873,792,6.97,0,2,4,DOWN,hold,1,0.06093554,0.271257,,,,,DOWN-FORWARD,DOWN-FORWARD,0.9471,2,100.0
1789908928.2712178,794,4.02,0,2,4,DOWN,hold,1,0.07628051,0.251823,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,3,100.0
1789908928.3799274,796,2.99,0,2,4,DOWN,hold,1,0.0907874,0.190178,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,4,100.0
1789908928.4417262,798,8.98,0,2,4,DOWN,hold,1,0.10037109,0.105562,,,,,DOWN,DOWN,1.0,1,100.0
1789908928.5350544,800,1.0,0,2,4,DOWN,hold,1,0.10656522,0.061712,,,,,DOWN,DOWN,1.0,2,100.0
1789908928.6108866,802,11.97,0,2,4,DOWN,hold,1,0.10830298,0.016307,,,,,DOWN,DOWN,1.0,3,100.0
1789908928.7041116,804,4.99,0,2,4,DOWN,hold,1,0.10962892,0.012243,,,,,DOWN,DOWN,1.0,4,100.0
1789908928.7799098,806,12.97,0,2,4,DOWN,hold,1,0.10772959,-0.017325,,,,,DOWN,DOWN,1.0,5,100.0
1789908928.8716981,808,5.02,0,2,4,DOWN,hold,1,0.10125315,-0.060118,,,,,DOWN,DOWN,1.0,6,100.0
1789908928.935031,810,1.99,0,2,4,DOWN,hold,1,0.04928915,-0.513209,,,,,DOWN-BACK,DOWN,1.0,1,100.0
1789908929.0427427,812,7.98,0,2,4,DOWN,hold,1,0.04696731,-0.047107,,,,,DOWN,DOWN,1.0,1,100.0
1789908929.1060834,814,5.98,0,2,4,DOWN,hold,1,0.0289075,-0.384519,,,,,DOWN-BACK,DOWN,1.0,1,100.0
1789908929.2147944,816,13.96,0,2,4,DOWN,hold,1,0.03730504,0.290497,,,,,DOWN-FORWARD,DOWN,1.0,1,100.0
1789908929.275665,818,3.03,0,2,4,DOWN,hold,1,0.04723696,0.266235,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,2,100.0
1789908929.38338,820,13.0,0,2,4,DOWN,hold,1,0.06074564,0.285977,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,3,100.0
1789908929.4461746,822,13.96,0,2,4,DOWN,hold,1,0.08321433,0.369882,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,4,100.0
1789908929.5376942,824,4.55,0,2,4,DOWN,hold,1,0.10070973,0.210245,,,,,DOWN-FORWARD,DOWN-FORWARD,1.0,5,100.0
1789908929.6002984,826,2.05,0,2,4,DOWN,hold,1,0.11325264,0.124545,,,,,DOWN,DOWN,1.0,1,100.0
1789908929.7084846,828,9.15,0,2,4,DOWN,hold,1,0.1244097,0.098515,,,,,DOWN,DOWN,1.0,2,100.0
1789908929.7699735,830,4.14,0,2,4,DOWN,hold,1,0.13374409,0.075029,,,,,DOWN,DOWN,1.0,3,100.0
1789908929.8764646,832,8.97,0,2,4,DOWN,hold,1,0.14018312,0.048144,,,,,DOWN,DOWN,1.0,4,100.0
1789908929.9374535,834,4.68,0,2,4,DOWN,hold,1,0.14655199,0.045433,,,,,DOWN,DOWN,1.0,5,100.0
1789908930.0463028,836,10.08,0,2,4,DOWN,hold,1,0.15188561,0.036394,,,,,DOWN,DOWN,1.0,6,100.0
1789908930.108776,838,7.8,0,2,4,DOWN,hold,1,0.1563357,0.029299,,,,,DOWN,DOWN,1.0,7,100.0
1789908930.2015493,840,2.99,0,2,4,DOWN,hold,1,0.16111006,0.030539,,,,,DOWN,DOWN,1.0,8,100.0
1789908930.37064,844,5.44,0,2,4,DOWN,hold,1,0.16573546,0.02871,,,,,DOWN,DOWN,1.0,9,100.0
1789908930.4477177,846,14.73,0,2,4,DOWN,hold,1,0.16852012,0.016802,,,,,DOWN,DOWN,1.0,10,100.0
1789908930.54217,848,8.41,0,2,4,DOWN,hold,1,0.17101451,0.014802,,,,,DOWN,DOWN,1.0,11,100.0
1789908930.6036794,850,6.16,0,2,4,DOWN,hold,1,0.17196363,0.00555,,,,,DOWN,DOWN,1.0,12,100.0
1789908930.7115781,852,13.4,0,2,4,DOWN,hold,1,0.17372652,0.010252,,,,,DOWN,DOWN,1.0,13,100.0
1789908930.7738345,854,8.04,0,2,4,DOWN,hold,1,0.17545615,0.009956,,,,,DOWN,DOWN,1.0,14,100.0
1789908930.8679583,856,2.03,0,2,4,DOWN,hold,1,0.17759577,0.012195,,,,,DOWN,DOWN,1.0,15,100.0
1789908930.945749,858,13.72,0,2,4,DOWN,hold,1,0.17915976,0.008806,,,,,DOWN,DOWN,1.0,16,100.0
1789908931.0381868,860,4.03,0,2,4,DOWN,hold,1,0.1807522,0.008888,,,,,DOWN,DOWN,1.0,17,100.0
1789908931.1145084,862,13.03,0,2,4,DOWN,hold,1,0.18104571,0.001624,,,,,DOWN,DOWN,1.0,18,100.0
1789908931.2080023,864,5.09,0,2,4,DOWN,hold,1,0.18108598,0.000222,,,,,DOWN,DOWN,1.0,19,100.0
1789908931.3754628,868,10.17,0,2,4,DOWN,hold,1,0.18147687,0.002159,,,,,DOWN,DOWN,1.0,20,100.0
1789908931.4376388,870,6.06,0,2,4,DOWN,hold,1,0.1837114,0.012313,,,,,DOWN,DOWN,1.0,21,100.0
1789908931.5447626,872,12.85,0,2,4,DOWN,hold,1,0.18440251,0.003762,,,,,DOWN,DOWN,1.0,22,100.0
1789908931.606043,874,9.22,0,2,4,DOWN,hold,1,0.18415172,-0.00136,,,,,DOWN,DOWN,1.0,23,100.0
1789908931.7010376,876,4.11,0,2,4,DOWN,hold,1,0.1850329,0.004785,,,,,DOWN,DOWN,1.0,24,100.0
1789908931.777514,878,12.81,0,2,4,DOWN,hold,1,0.1848455,-0.001013,,,,,DOWN,DOWN,1.0,25,100.0
1789908931.8713186,880,5.09,0,2,4,DOWN,hold,1,0.1831612,-0.009112,,,,,DOWN,DOWN,1.0,26,100.0
1789908931.9329324,882,1.0,0,2,4,DOWN,hold,1,0.18355786,0.002166,,,,,DOWN,DOWN,1.0,27,100.0
1789908932.0417984,884,9.0,0,2,4,DOWN,hold,1,0.18373128,0.000945,,,,,DOWN,DOWN,1.0,28,100.0
1789908932.102293,886,4.96,0,2,4,DOWN,hold,1,0.18243397,-0.007061,,,,,DOWN,DOWN,1.0,29,100.0
1789908932.2118223,888,12.63,0,2,4,DOWN,hold,1,0.18137764,-0.00579,,,,,DOWN,DOWN,1.0,30,100.0
1789908932.2731318,890,6.76,0,2,4,DOWN,hold,1,0.18149314,0.000637,,,,,DOWN,DOWN,1.0,31,100.0
1789908932.365886,892,1.04,0,2,4,DOWN,hold,1,0.1827433,0.006888,,,,,DOWN,DOWN,1.0,32,100.0
1789908932.4428377,894,13.07,0,2,4,DOWN,hold,1,0.18209741,-0.003534,,,,,DOWN,DOWN,1.0,33,100.0
1789908932.5362027,896,2.68,0,2,4,DOWN,hold,1,0.18215083,0.000293,,,,,DOWN,DOWN,1.0,34,100.0
1789908932.6117084,898,13.26,0,2,4,DOWN,hold,1,0.18249932,0.001913,,,,,DOWN,DOWN,1.0,35,100.0
1789908932.70554,900,7.53,0,2,4,DOWN,hold,1,0.18481389,0.012683,,,,,DOWN,DOWN,1.0,36,100.0
1789908932.7672162,902,2.99,0,2,4,DOWN,hold,1,0.18626275,0.00784,,,,,DOWN,DOWN,1.0,37,100.0
1789908932.8758287,904,11.15,0,2,4,DOWN,hold,1,0.18653192,0.001445,,,,,DOWN,DOWN,1.0,38,100.0
1789908932.9381442,906,6.02,0,2,4,DOWN,hold,1,0.18526481,-0.006793,,,,,DOWN,DOWN,1.0,39,100.0
1789908933.0469592,908,13.99,0,2,4,DOWN,hold,1,0.18533594,0.000384,,,,,DOWN,DOWN,1.0,40,100.0
1789908933.1077838,910,10.75,0,2,4,DOWN,hold,1,0.18518546,-0.000812,,,,,DOWN,DOWN,1.0,41,100.0
1789908938.2703736,1034,3.99,0,3,0,CENTER,hold,1,0.08550467,-0.000213,,,,,DOWN,DOWN,1.0,16,100.0
1789908938.3311992,1036,1.0,0,3,0,CENTER,hold,1,0.085134,-0.004335,,,,,DOWN,DOWN,1.0,17,100.0
1789908938.4396107,1038,7.99,0,3,0,CENTER,hold,1,0.08427659,-0.010071,,,,,DOWN,DOWN,1.0,18,100.0
1789908938.501585,1040,2.99,0,3,0,CENTER,hold,1,0.08791076,0.043122,,,,,DOWN,DOWN,1.0,19,100.0
1789908938.6104205,1042,13.71,0,3,0,CENTER,hold,1,0.09103354,0.035522,,,,,DOWN,DOWN,1.0,20,100.0
1789908938.6729398,1044,8.0,0,3,0,CENTER,hold,1,0.09488789,0.04234,,,,,DOWN,DOWN,1.0,21,100.0
1789908938.7820833,1046,15.35,0,3,0,CENTER,hold,1,0.09708453,0.02315,,,,,DOWN,DOWN,1.0,22,100.0
1789908938.8424156,1048,12.9,0,3,0,CENTER,hold,1,0.09829032,0.01242,,,,,DOWN,DOWN,1.0,23,100.0
1789908938.936697,1050,3.99,0,3,0,CENTER,hold,1,0.09926435,0.00991,,,,,DOWN,DOWN,1.0,24,100.0
1789908939.0115926,1052,13.22,0,3,0,CENTER,hold,1,0.09851619,-0.007537,,,,,DOWN,DOWN,1.0,25,100.0
1789908939.1059062,1054,10.34,0,3,0,CENTER,hold,1,0.09753646,-0.009945,,,,,DOWN,DOWN,1.0,26,100.0
