t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm
1789938590.292004,850,2.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.3285358,851,4.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.3574586,852,1.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.4244335,853,1.36,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.4388802,854,10.01,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.4893816,855,1.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.5247433,856,2.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.5939379,857,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.6255498,858,4.67,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.6858659,859,29.92,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.7149253,860,26.06,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.7834024,861,27.2,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.8125315,862,17.82,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.8818593,864,26.93,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.9337528,865,9.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.99623,867,7.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.041035,868,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.1093554,869,1.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.127308,870,0.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.1704397,871,16.2,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.2086608,872,2.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.2611415,873,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.2960153,874,2.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.3419256,875,19.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.3569965,876,4.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.4254313,877,2.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.441895,878,13.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.4959137,879,3.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.5370452,880,2.27,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.5942497,881,1.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.62316,882,0.59,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.6796637,883,22.73,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.7097383,884,20.1,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.770371,885,16.44,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.80029,886,11.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.8692555,888,15.96,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.9234552,889,1.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938591.987401,890,29.66,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.0197194,891,31.81,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.091041,893,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.1259477,894,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.1741736,895,0.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.1911283,896,1.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.2593796,897,1.96,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.295265,898,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.343144,899,21.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.3640885,900,8.01,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.4274087,901,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.4438806,902,14.48,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.4930751,903,2.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.5289464,904,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.5923474,905,3.14,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.627306,906,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.6687691,907,13.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.6937377,908,3.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.7593098,909,3.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.79196,910,4.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.829402,911,7.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.8579004,912,2.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.927147,913,2.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.959908,914,3.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938592.9999723,915,10.18,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.025907,916,1.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.094747,917,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.127042,918,3.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.171967,919,17.95,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.1939096,920,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.2569525,921,1.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.2928543,922,3.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.3375158,923,13.96,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.358048,924,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.423804,925,3.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.4567153,926,25.93,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.5477176,928,25.14,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.5935981,929,2.0,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.6620426,931,6.98,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.6974924,932,11.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.762282,933,9.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.794331,934,7.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.8979926,936,44.31,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.9338977,937,3.99,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938593.9961,939,7.98,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.0283556,940,4.99,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.0979998,941,7.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.1299486,942,8.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.1963685,944,7.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.2577586,945,1.0,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.3312037,947,9.97,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.3653371,948,4.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.4265723,949,6.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.4619823,950,31.42,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.5381956,952,14.36,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.5893521,953,1.0,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.6536908,954,33.42,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.687641,955,31.96,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.7564573,956,66.82,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.7907584,958,1.0,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.8537467,959,28.43,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.8853662,960,31.62,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.9509215,961,11.97,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938594.9838321,962,23.94,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.0481634,964,20.34,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.0910487,965,1.0,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.1636467,967,9.97,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.1955616,968,7.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.2564597,969,2.99,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.290848,970,1.99,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.3590226,972,6.98,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.4351323,973,3.68,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.5058694,975,16.95,0,0,5,FORWARD,hold,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.5426908,976,17.87,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.6137815,977,24.85,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.6483898,978,26.61,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.7008636,980,10.97,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.720812,981,1.0,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.7939808,982,3.18,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.8239057,983,3.99,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.8653536,984,13.01,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.8941169,985,3.98,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.9599736,986,5.02,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938595.9906235,987,3.01,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.031035,988,9.0,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.053946,989,2.0,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.1260786,990,4.02,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.1579943,991,1.99,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.1998684,992,9.88,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.2256043,993,2.03,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.2923906,994,1.48,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.3269553,995,4.02,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.3743029,996,12.97,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.3944805,997,1.0,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.4671211,998,37.4,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938596.5102224,999,19.17,0,0,5,FORWARD,hold,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
