t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790261345.2465189,115,0.004218101501464844,237.0734795387746,1.5034675598144531,0.04160000025876798,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,0,0,,0,hover,0.01349999729427509,1
1790261345.2735295,117,0.027010679244995117,37.02239365880785,1.026153564453125,22.643000000243774,,0,,0,0,no_face,0,0.004800000169780105,1,,0,0,0,22.598999999900116,1,hover,0.016500001947861165,1
1790261345.277554,128,0.004024505615234375,248.47772511848342,2.0296573638916016,0.0349000001733657,,0,,0,0,no_face,0,0.0033999967854470015,1,,0,0,0,,0,hover,0.01170000177808106,1
1790261345.390191,129,0.11263704299926758,8.87807397435409,2.0296573638916016,23.71359999960987,,0,,0,0,no_face,0,0.004099998477613553,1,4.880700002104277,1,0,0,18.797599997924408,1,hover,0.014900000678608194,1
1790261345.402716,130,0.012524843215942383,79.84131879009385,2.9935836791992188,0.03939999805879779,,0,,0,0,no_face,0,0.0032999996619764715,1,,0,0,0,,0,hover,0.012000000424450263,1
1790261345.4567785,131,0.054062604904174805,18.497073934422616,3.3948421478271484,21.54970000265166,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,0,0,21.509800000785617,1,hover,0.014400000509340316,1
1790261345.4697483,132,0.012969732284545898,77.1025937976801,2.994060516357422,0.06889999713166617,,0,,0,0,no_face,0,0.006900001608300954,1,,0,0,0,,0,hover,0.02479999966453761,1
1790261345.560123,133,0.09037470817565918,11.06504264507636,1.0285377502441406,25.56660000118427,,0,,0,0,no_face,0,0.003999997716164216,1,4.717299998446833,1,0,0,20.813900002394803,1,hover,0.014700002793688327,1
1790261345.566111,134,0.005988121032714844,166.99729256250995,1.0309219360351562,0.03470000228844583,,0,,0,0,no_face,0,0.0029000002541579306,1,,0,0,0,,0,hover,0.011200001608813182,1
1790261345.6220658,135,0.055954694747924805,17.871601382243036,1.9946098327636719,20.659499998146202,,0,,0,0,no_face,0,0.0035999983083456755,1,,0,0,0,20.62349999687285,1,hover,0.013299999409355223,1
1790261345.6339138,136,0.011847972869873047,84.40262405924257,1.83868408203125,0.03740000101970509,,0,,0,0,no_face,0,0.0034000004234258085,1,,0,0,0,,0,hover,0.011600001016631722,1
1790261345.7356179,137,0.10170412063598633,9.832443304624242,12.102603912353516,24.890699998650234,,0,,0,0,no_face,0,0.0038000034692231566,1,4.49060000028112,1,0,0,20.367900000564987,1,hover,0.013999997463542968,1
1790261345.7414277,138,0.005809783935546875,172.12344057780695,10.931730270385742,0.04079999780515209,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,0,0,,0,hover,0.01340000017080456,1
1790261345.7903183,139,0.04889059066772461,20.453833474753978,5.786657333374023,18.0928000008862,,0,,0,0,no_face,0,0.0041000021155923605,1,,0,0,0,18.054700001812307,1,hover,0.014099998224992305,1
1790261345.802879,140,0.012560844421386719,79.61248196795991,3.702878952026367,0.040400002035312355,,0,,0,0,no_face,0,0.0029999973776284605,1,,0,0,0,,0,hover,0.012900000001536682,1
1790261345.890191,141,0.08731198310852051,11.453181618347791,0.9965896606445312,22.985800002061296,,0,,0,0,no_face,0,0.004300000000512227,1,4.450200001883786,1,0,0,18.49969999966561,1,hover,0.014900000678608194,1
1790261345.8983035,142,0.008112430572509766,123.26761887968024,0.9980201721191406,0.03899999865097925,,0,,0,0,no_face,0,0.0034999975468963385,1,,0,0,0,,0,hover,0.012500000593718141,1
1790261345.960165,143,0.061861515045166016,16.16513917045008,10.278701782226562,17.83609999984037,,0,,0,0,no_face,0,0.0034000004234258085,1,,0,0,0,17.80249999865191,1,hover,0.01219999830937013,1
1790261345.9732022,144,0.01303720474243164,76.70355875790936,6.661891937255859,0.04160000025876798,,0,,0,0,no_face,0,0.0032999996619764715,1,,0,0,0,,0,hover,0.013500000932253897,1
1790261346.05836,145,0.08515787124633789,11.742895699063212,1.9955635070800781,22.597300001507392,,0,,0,0,no_face,0,0.0041000021155923605,1,4.547600001387764,1,0,0,18.014799999946263,1,hover,0.01469999915570952,1
1790261346.0691123,146,0.010752201080322266,93.00421304714177,1.8439292907714844,0.036699999327538535,,0,,0,0,no_face,0,0.0029999973776284605,1,,0,0,0,,0,hover,0.011800002539530396,1
1790261346.1267421,147,0.05762982368469238,17.352126660516223,11.243343353271484,16.886700002942234,,0,,0,0,no_face,0,0.0032999996619764715,1,,0,0,0,16.852400000061607,1,hover,0.01300000076298602,1
