path,label
dataset_images\00_CENTER\20260204_120951_L00_000071.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000072.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000073.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000074.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000075.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000076.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000077.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000078.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000079.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000080.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000081.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000082.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000083.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000084.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000085.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000086.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000087.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000088.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000089.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000090.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000091.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000092.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000093.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000094.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000095.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000096.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000097.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000098.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000099.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000100.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000101.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000102.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000103.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000104.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000105.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000106.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000107.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000108.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000109.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000110.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000111.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000112.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000113.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000114.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000115.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000116.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000117.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000118.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000119.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000120.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000121.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000122.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000123.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000124.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000125.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000126.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000127.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000128.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000129.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000130.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000131.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000132.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000133.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000134.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000135.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000136.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000137.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000138.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000139.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000140.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000141.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000142.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000143.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000144.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000145.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000146.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000147.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000148.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000149.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000150.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000151.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000152.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000153.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000154.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000155.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000156.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000157.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000158.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000159.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000160.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000161.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000162.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000163.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000164.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000165.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000166.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000167.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000168.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000169.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000170.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000171.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000172.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000173.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000174.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000175.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000176.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000177.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000178.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000179.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000180.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000181.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000182.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000183.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000184.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000185.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000186.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000187.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000188.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000189.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000190.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000191.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000192.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000193.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000194.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000195.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000196.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000197.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000198.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000199.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000200.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000201.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000202.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000203.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000204.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000205.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000206.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000207.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000208.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000209.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000210.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000211.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000212.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000213.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000214.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000215.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000216.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000217.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000218.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000219.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000220.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000221.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000222.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000223.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000224.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000225.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000226.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000227.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000228.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000229.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000230.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000231.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000232.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000233.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000234.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000235.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000236.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000237.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000238.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000239.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000240.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000241.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000242.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000243.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000244.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000245.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000246.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000247.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000248.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000249.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000250.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000251.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000252.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000253.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000254.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000255.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000256.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000257.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000258.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000259.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000260.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000261.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000262.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000263.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000264.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000265.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000266.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000267.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000268.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000269.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000270.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000271.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000272.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000273.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000274.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000275.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000276.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000277.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000278.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000279.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000280.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000281.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000282.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000283.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000284.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000285.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000286.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000287.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000288.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000289.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000290.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000291.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000292.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000293.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000294.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000295.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000296.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000297.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000298.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000299.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000300.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000301.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000302.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000303.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000304.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000305.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000306.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000307.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000308.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000309.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000310.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000311.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000312.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000313.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000314.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000315.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000316.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000317.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000318.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000319.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000320.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000321.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000322.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000323.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000324.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000325.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000326.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000327.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000328.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000329.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000330.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000331.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000332.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000333.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000334.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000335.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000336.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000337.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000338.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000339.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000340.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000341.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000342.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000343.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000344.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000345.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000346.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000347.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000348.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000349.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000350.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000351.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000352.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000353.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000354.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000355.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000356.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000357.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000358.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000359.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000360.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000361.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000362.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000363.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000364.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000365.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000366.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000367.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000368.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000369.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000370.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000371.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000372.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000373.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000374.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000375.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000376.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000377.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000378.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000379.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000380.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000381.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000382.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000383.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000384.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000385.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000386.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000387.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000388.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000389.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000390.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000391.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000392.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000393.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000394.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000395.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000396.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000397.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000398.jpg,0
dataset_images\00_CENTER\20260204_120951_L00_000399.jpg,0
dataset_images\01_LEFT\20260204_120951_L01_000000.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000001.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000002.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000003.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000004.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000005.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000006.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000007.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000008.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000009.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000010.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000011.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000012.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000013.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000014.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000015.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000016.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000017.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000018.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000019.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000020.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000021.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000022.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000023.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000024.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000025.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000026.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000027.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000028.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000029.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000030.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000031.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000032.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000033.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000034.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000035.jpg,1
dataset_images\01_LEFT\20260204_120951_L01_000036.jpg,1
