k,edge,detected,t_switch,seq,t_arrival,t_pick,delay_arrival_ms,delay_pickup_ms,frame_age_ms,v_before_switch,v_at
37,fall,1,1790267100.591434,1726,1790267101.194624,1790267101.196345,603.19,604.91,1.72,0.984,-0.214
38,rise,1,1790267102.097105,1762,1790267102.691845,1790267102.692843,594.74,595.74,1.0,-0.116,1.157
39,fall,1,1790267103.942145,1807,1790267104.558472,1790267104.560429,616.33,618.28,1.96,0.917,-0.383
40,rise,1,1790267105.493923,1844,1790267106.090675,1790267106.091672,596.75,597.75,1.0,-0.151,1.172
41,fall,1,1790267107.31708,1889,1790267107.966961,1790267107.976901,649.88,659.82,9.94,0.915,-0.392
42,rise,1,1790267108.831126,1924,1790267109.426815,1790267109.427812,595.69,596.69,1.0,-0.149,1.17
43,fall,1,1790267110.348213,1961,1790267110.957828,1790267110.964812,609.61,616.6,6.98,0.978,-0.349
44,rise,1,1790267112.147226,2003,1790267112.721837,1790267112.722863,574.61,575.64,1.03,-0.058,0.721
45,fall,1,1790267114.056073,2050,1790267114.657748,1790267114.659724,601.68,603.65,1.98,0.902,-0.305
46,rise,1,1790267115.697861,2089,1790267116.293708,1790267116.305188,595.85,607.33,11.48,-0.113,1.163
47,fall,1,1790267117.294315,2127,1790267117.890364,1790267117.891361,596.05,597.05,1.0,0.958,-0.27
48,rise,1,1790267118.807129,2163,1790267119.391103,1790267119.391103,583.97,583.97,0.0,-0.121,1.117
49,fall,1,1790267120.680412,2209,1790267121.292905,1790267121.30587,612.49,625.46,12.96,0.92,-0.391
50,rise,1,1790267122.198502,2245,1790267122.768682,1790267122.797923,570.18,599.42,29.24,-0.137,1.16
51,fall,1,1790267123.703827,2281,1790267124.292873,1790267124.311825,589.05,608.0,18.95,0.974,0.226
52,rise,1,1790267125.21015,2317,1790267125.76844,1790267125.800125,558.29,589.98,31.69,-0.118,1.036
53,fall,1,1790267126.77444,2356,1790267127.424581,1790267127.426619,650.14,652.18,2.04,0.972,-0.362
54,rise,1,1790267128.278879,2392,1790267128.923197,1790267128.924194,644.32,645.32,1.0,-0.128,1.186
55,fall,1,1790267130.206066,2438,1790267130.823416,1790267130.82445,617.35,618.38,1.03,0.898,-0.388
56,rise,1,1790267131.867309,2477,1790267132.460386,1790267132.46146,593.08,594.15,1.07,-0.103,1.144
57,fall,1,1790267133.633924,2520,1790267134.237071,1790267134.238117,603.15,604.19,1.05,0.927,0.25
58,rise,1,1790267135.149616,2557,1790267135.792276,1790267135.792276,642.66,642.66,0.0,-0.134,1.183
59,fall,1,1790267136.667639,2593,1790267137.291047,1790267137.292313,623.41,624.67,1.27,0.976,-0.355
