t;bat;h;tof;yaw;vgx;vgy;vgz
1770206440.631579;72.0;140.0;124.0;-164.0;-2.0;0.0;0.0
1770206441.6621847;72.0;140.0;142.0;-164.0;-4.0;0.0;0.0
1770206442.6918902;72.0;140.0;137.0;-164.0;-4.0;0.0;0.0
1770206443.7525105;72.0;140.0;132.0;-164.0;-3.0;0.0;0.0
1770206444.765418;72.0;130.0;118.0;-164.0;0.0;0.0;-1.0
1770206445.7909935;72.0;110.0;98.0;-164.0;0.0;0.0;-1.0
1770206446.8207304;72.0;90.0;79.0;-164.0;0.0;0.0;-1.0
1770206447.8392973;72.0;70.0;61.0;-164.0;0.0;0.0;-1.0
1770206448.8396468;72.0;50.0;42.0;-164.0;0.0;0.0;-1.0
1770206449.8600664;72.0;40.0;29.0;-164.0;0.0;0.0;0.0
1770206450.8746855;71.0;40.0;29.0;-164.0;0.0;0.0;0.0
1770206451.8756995;71.0;40.0;30.0;-164.0;0.0;0.0;0.0
1770206452.8766115;71.0;40.0;28.0;-164.0;0.0;0.0;0.0
1770206453.8925169;71.0;40.0;30.0;-164.0;0.0;0.0;0.0
1770206454.8938277;71.0;40.0;30.0;-165.0;0.0;0.0;0.0
1770206455.911144;70.0;40.0;28.0;-164.0;0.0;0.0;0.0
1770206456.9227846;70.0;40.0;31.0;-165.0;0.0;0.0;0.0
1770206457.9538555;70.0;40.0;29.0;-164.0;0.0;0.0;0.0
1770206458.961271;70.0;40.0;29.0;-164.0;0.0;0.0;0.0
1770206459.9912663;70.0;40.0;30.0;-165.0;0.0;0.0;0.0
1770206461.0145547;70.0;40.0;30.0;-164.0;0.0;0.0;0.0
1770206462.0148008;70.0;40.0;29.0;-164.0;0.0;0.0;0.0
1770206463.0355635;70.0;10.0;10.0;-165.0;0.0;0.0;1.0
1770206464.0556824;70.0;0.0;10.0;-164.0;0.0;0.0;0.0
1770206465.064016;70.0;0.0;10.0;-164.0;0.0;0.0;0.0
1770206466.071107;70.0;0.0;10.0;-163.0;0.0;0.0;0.0
1770206467.0737143;70.0;0.0;10.0;-162.0;0.0;0.0;0.0
1770206468.0784845;70.0;0.0;10.0;-162.0;0.0;0.0;0.0
1770206469.0800507;70.0;0.0;10.0;-161.0;0.0;0.0;0.0
1770206470.0894065;70.0;0.0;10.0;-157.0;11.0;0.0;1.0
1770206471.103347;70.0;0.0;10.0;-174.0;0.0;0.0;1.0
1770206472.1069727;70.0;0.0;10.0;-174.0;0.0;0.0;0.0
1770206473.1077933;70.0;0.0;10.0;-174.0;0.0;0.0;0.0
1770206474.1108673;70.0;0.0;10.0;-173.0;0.0;0.0;0.0
1770206475.1126087;70.0;0.0;10.0;-173.0;0.0;0.0;0.0
1770206476.12304;70.0;10.0;16.0;-173.0;0.0;0.0;7.0
1770206477.1248198;70.0;50.0;77.0;-173.0;0.0;0.0;1.0
1770206478.128056;70.0;60.0;90.0;-173.0;0.0;0.0;0.0
1770206479.1438732;70.0;70.0;95.0;-172.0;0.0;0.0;1.0
1770206480.1457574;70.0;80.0;101.0;-171.0;0.0;0.0;0.0
1770206481.1457648;70.0;80.0;102.0;-171.0;0.0;0.0;0.0
1770206482.1612818;70.0;80.0;107.0;-172.0;1.0;0.0;0.0
1770206483.1624947;70.0;90.0;121.0;-172.0;1.0;0.0;1.0
1770206484.1776404;70.0;120.0;144.0;-172.0;1.0;0.0;1.0
1770206485.189731;70.0;130.0;162.0;-171.0;1.0;0.0;1.0
1770206486.1920476;70.0;150.0;183.0;-171.0;1.0;0.0;1.0
1770206487.19292;70.0;160.0;184.0;-171.0;1.0;0.0;0.0
1770206488.1973877;70.0;160.0;184.0;-175.0;1.0;0.0;0.0
1770206489.1991475;70.0;160.0;180.0;-154.0;1.0;0.0;0.0
1770206490.201091;70.0;160.0;172.0;-136.0;1.0;0.0;0.0
1770206491.2046466;70.0;150.0;172.0;-116.0;0.0;0.0;0.0
1770206492.218855;70.0;150.0;174.0;-88.0;0.0;0.0;0.0
1770206493.223605;70.0;150.0;171.0;-75.0;0.0;0.0;0.0
1770206494.2375436;70.0;150.0;169.0;-68.0;0.0;0.0;0.0
1770206495.2394805;70.0;150.0;169.0;-65.0;0.0;0.0;0.0
1770206496.2528315;70.0;150.0;170.0;-57.0;0.0;0.0;0.0
1770206497.2537355;70.0;150.0;174.0;-51.0;0.0;0.0;0.0
1770206498.267623;70.0;140.0;169.0;-30.0;0.0;0.0;0.0
1770206499.2704766;70.0;140.0;165.0;-30.0;0.0;0.0;0.0
1770206500.2843463;70.0;140.0;168.0;-5.0;0.0;0.0;0.0
1770206501.289456;70.0;140.0;161.0;13.0;0.0;0.0;0.0
1770206502.3042772;70.0;140.0;164.0;17.0;-1.0;0.0;0.0
1770206503.304688;70.0;140.0;173.0;40.0;-1.0;0.0;0.0
1770206504.3051999;70.0;140.0;176.0;52.0;-1.0;0.0;0.0
1770206505.308441;70.0;140.0;172.0;67.0;0.0;0.0;0.0
1770206506.31275;70.0;140.0;170.0;84.0;0.0;0.0;0.0
1770206507.32898;70.0;140.0;168.0;88.0;0.0;-1.0;0.0
1770206508.3436015;70.0;140.0;168.0;112.0;0.0;0.0;0.0
1770206509.3455675;70.0;140.0;171.0;128.0;0.0;0.0;0.0
1770206510.3590631;70.0;150.0;171.0;128.0;0.0;0.0;0.0
1770206511.365579;70.0;150.0;174.0;137.0;0.0;0.0;0.0
1770206512.3786373;70.0;150.0;176.0;143.0;0.0;0.0;0.0
1770206513.3937154;70.0;150.0;179.0;143.0;0.0;0.0;0.0
1770206514.3970737;70.0;150.0;177.0;147.0;1.0;0.0;0.0
1770206515.3977227;70.0;150.0;173.0;165.0;1.0;0.0;0.0
1770206516.4079561;70.0;150.0;171.0;178.0;0.0;0.0;0.0
1770206517.4086776;70.0;150.0;165.0;171.0;0.0;0.0;0.0
1770206518.4117174;70.0;140.0;168.0;167.0;-3.0;0.0;0.0
1770206519.4133315;69.0;140.0;165.0;167.0;-6.0;1.0;0.0
1770206520.4280293;69.0;140.0;160.0;175.0;-4.0;0.0;0.0
1770206521.4309335;69.0;140.0;169.0;177.0;0.0;0.0;0.0
1770206522.4313035;69.0;150.0;176.0;177.0;0.0;0.0;0.0
1770206523.446936;69.0;160.0;182.0;-178.0;0.0;0.0;0.0
1770206524.4487894;69.0;160.0;186.0;175.0;1.0;0.0;0.0
1770206525.455795;69.0;160.0;184.0;172.0;1.0;0.0;0.0
1770206526.4592423;69.0;160.0;184.0;172.0;1.0;0.0;0.0
1770206527.4638016;69.0;160.0;187.0;172.0;1.0;0.0;0.0
1770206528.4777677;69.0;150.0;177.0;177.0;0.0;0.0;0.0
1770206529.4805357;69.0;150.0;169.0;-163.0;0.0;0.0;0.0
1770206530.4847286;69.0;140.0;167.0;-136.0;-1.0;0.0;0.0
1770206531.4896977;69.0;140.0;168.0;-113.0;0.0;-1.0;0.0
1770206532.4906697;69.0;140.0;169.0;-108.0;0.0;0.0;0.0
1770206533.4911695;69.0;140.0;170.0;-114.0;0.0;0.0;0.0
1770206534.4938664;68.0;140.0;169.0;-146.0;0.0;0.0;0.0
1770206535.494765;68.0;140.0;170.0;-168.0;0.0;0.0;0.0
1770206536.5090206;68.0;140.0;171.0;-178.0;0.0;0.0;0.0
1770206537.5147297;68.0;140.0;171.0;162.0;0.0;0.0;0.0
1770206538.5182164;68.0;150.0;171.0;151.0;0.0;0.0;0.0
1770206539.5329947;68.0;150.0;172.0;146.0;0.0;0.0;0.0
1770206540.542485;68.0;150.0;171.0;122.0;0.0;0.0;0.0
1770206541.545109;68.0;150.0;169.0;100.0;0.0;1.0;0.0
1770206542.548029;68.0;140.0;169.0;92.0;0.0;0.0;0.0
1770206543.5481424;68.0;140.0;168.0;77.0;0.0;0.0;0.0
1770206544.549958;68.0;140.0;169.0;56.0;0.0;1.0;0.0
1770206545.5512342;68.0;150.0;172.0;50.0;1.0;1.0;0.0
1770206546.5643036;68.0;150.0;174.0;28.0;0.0;0.0;0.0
1770206547.5672467;67.0;140.0;169.0;3.0;0.0;0.0;0.0
1770206548.5729954;67.0;150.0;172.0;-7.0;0.0;0.0;0.0
1770206549.5747156;67.0;140.0;170.0;-10.0;0.0;0.0;0.0
1770206550.5790153;67.0;150.0;173.0;-12.0;4.0;0.0;0.0
1770206551.5820582;67.0;150.0;169.0;-24.0;6.0;-2.0;0.0
1770206552.599152;67.0;140.0;173.0;-39.0;6.0;-3.0;0.0
1770206553.6013286;67.0;150.0;170.0;-39.0;2.0;-1.0;0.0
1770206554.6108258;67.0;150.0;172.0;-39.0;0.0;0.0;0.0
1770206555.6132376;67.0;150.0;171.0;-39.0;0.0;0.0;0.0
1770206556.6152983;67.0;-10.0;10.0;-28.0;4.0;0.0;-3.0
1770206557.6165564;67.0;-40.0;10.0;126.0;0.0;2.0;0.0
1770206558.629975;66.0;0.0;10.0;96.0;0.0;0.0;0.0
1770206559.6334496;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206560.6393826;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206561.6446931;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206562.6502492;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206563.6545136;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206564.6566029;66.0;0.0;10.0;90.0;0.0;0.0;0.0
1770206565.6569717;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206566.6636093;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206567.6712072;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206568.6766515;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206569.6789978;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206570.6946447;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206571.6964865;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206572.7037911;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206573.7071657;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206574.7146714;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206575.721398;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206576.7297268;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206577.738362;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206578.7418234;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206579.7467122;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206580.7489293;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206581.7557144;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206582.7650301;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206583.7709286;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206584.7728949;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206585.777774;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206586.783775;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206587.793685;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206588.7989504;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206589.8052816;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206590.8105397;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206591.8196824;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206592.8250093;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206593.8297932;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206594.8355875;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206595.8427467;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206596.8513043;66.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206597.8537517;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206598.8608487;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206599.8646286;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206600.8729973;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206601.8776693;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206602.8851664;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206603.891866;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206604.895513;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206605.9087455;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206606.9087834;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206607.9101312;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206608.9127717;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206609.9179976;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206610.919082;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206611.9266548;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206612.9327333;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206613.938594;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206614.9387743;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206615.9437716;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206616.9468563;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206617.957905;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206618.9620311;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206619.9667013;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206620.9730847;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206621.9770522;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206622.985107;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206623.9869196;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206624.9887228;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206625.9944088;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206626.9982185;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206628.0034127;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206629.0177221;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206630.0222363;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206631.0287263;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206632.03288;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206633.0338652;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206634.0416684;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206635.048416;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206636.050748;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206637.054487;65.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206638.0608737;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206639.0672886;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206640.071592;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206641.07574;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206642.0824888;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206643.0844934;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206644.089893;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206645.0933528;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206646.0947695;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206647.097569;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206648.104901;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206649.108993;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206650.1149426;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206651.1213925;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206652.126638;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206653.1318743;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206654.1337304;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206655.135999;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206656.136214;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206657.1447291;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206658.1533763;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206659.15773;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206660.1630356;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206661.1682198;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206662.1698606;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206663.176105;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206664.179759;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206665.1897764;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206666.1936016;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206667.1989539;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206668.2018754;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206669.2099946;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206670.2175622;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206671.2217534;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206672.2238824;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206673.2302766;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206674.2350452;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206675.2487786;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206676.2510445;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206677.2516744;64.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206678.2578154;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206679.2631278;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206680.2677746;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206681.280644;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206682.2846575;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206683.2886324;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206684.2936718;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206685.3006523;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206686.3047912;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206687.3092232;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206688.3147855;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206689.3156807;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206690.322796;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206691.32754;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206692.332809;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206693.3417168;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206694.347929;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206695.3548245;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206696.3556132;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206697.3612425;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206698.3617697;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206699.3699818;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206700.3759232;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206701.379817;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206702.3844564;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206703.3917806;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206704.3998253;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206705.408138;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206706.413795;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206707.4218264;63.0;0.0;10.0;91.0;0.0;0.0;0.0
1770206708.4254806;63.0;0.0;10.0;91.0;0.0;0.0;0.0
