t,seq,frame_age_ms,distance_m,face_raw,crop_ok,face_bbox_w,face_bbox_h,faceid_score,face_auth,embed_ms,battery,segment
1789899170.8870625,1311,8.53,0.5,1,0,352,352,,,,100.0,1
1789899170.9185612,1312,11.57,0.5,1,1,356,356,0.8739,1,9.181,100.0,1
1789899170.9813542,1313,4.99,0.5,1,1,356,356,0.8527,1,7.532,100.0,1
1789899171.012272,1314,3.99,0.5,1,1,356,356,0.854,1,7.646,100.0,1
1789899171.0571516,1315,13.96,0.5,1,1,356,356,0.7813,1,7.347,100.0,1
1789899171.0880842,1316,12.47,0.5,1,1,356,356,0.7467,1,8.602,100.0,1
1789899171.1499689,1317,7.03,0.5,1,1,356,356,0.7317,1,6.432,100.0,1
1789899171.180349,1318,1.99,0.5,1,1,356,356,0.7516,1,8.287,100.0,1
1789899171.211773,1319,1.99,0.5,1,1,356,356,0.7351,1,6.857,100.0,1
1789899171.2576494,1320,9.96,0.5,1,1,356,356,0.7115,1,8.172,100.0,1
1789899171.3206587,1321,11.64,0.5,1,0,356,356,,,,100.0,1
1789899171.3512146,1322,9.05,0.5,1,0,356,356,,,,100.0,1
1789899171.3816495,1323,4.5,0.5,1,0,356,356,,,,100.0,1
1789899171.4125593,1324,1.99,0.5,1,1,349,349,0.8683,1,7.834,100.0,1
1789899171.490859,1325,15.55,0.5,1,1,349,349,0.8578,1,6.786,100.0,1
1789899171.5217752,1326,12.96,0.5,1,1,349,349,0.8197,1,7.622,100.0,1
1789899171.5527267,1327,13.0,0.5,1,1,349,349,0.8111,1,7.392,100.0,1
1789899171.5836413,1328,8.97,0.5,1,1,349,349,0.7989,1,7.375,100.0,1
1789899171.6310887,1329,13.0,0.5,1,1,349,349,0.8016,1,8.102,100.0,1
1789899171.6769364,1330,4.99,0.5,1,1,349,349,0.8,1,7.022,100.0,1
1789899171.724352,1331,14.99,0.5,1,1,349,349,0.814,1,8.372,100.0,1
1789899171.7412732,1332,0.0,0.5,1,1,349,349,0.842,1,7.746,100.0,1
1789899171.8165634,1333,8.04,0.5,1,0,349,349,,,,100.0,1
1789899171.8477027,1334,6.04,0.5,1,0,349,349,,,,100.0,1
1789899171.893965,1335,13.52,0.5,1,0,349,349,,,,100.0,1
1789899171.909638,1336,0.0,0.5,1,1,354,353,0.8214,1,8.77,100.0,1
1789899171.9864802,1337,2.03,0.5,1,1,354,353,0.8242,1,8.428,100.0,1
1789899172.016864,1338,11.47,0.5,1,1,354,353,0.8326,1,6.626,100.0,1
1789899172.0487802,1339,3.99,0.5,1,1,354,353,0.8362,1,8.318,100.0,1
1789899172.0786996,1340,4.99,0.5,1,1,354,353,0.8335,1,7.955,100.0,1
1789899172.1552033,1341,14.14,0.5,1,1,354,353,0.8269,1,11.89,100.0,1
1789899172.178143,1342,4.99,0.5,1,1,354,353,0.8142,1,8.408,100.0,1
1789899172.217037,1343,11.97,0.5,1,1,354,353,0.8116,1,7.385,100.0,1
1789899172.2489522,1344,8.98,0.5,1,1,354,353,0.8079,1,6.222,100.0,1
1789899172.3260396,1345,5.49,0.5,1,0,354,353,,,,100.0,1
1789899172.3568087,1346,12.84,0.5,1,0,354,353,,,,100.0,1
1789899172.3885975,1347,10.65,0.5,1,0,354,353,,,,100.0,1
1789899172.4192898,1348,9.22,0.5,1,1,347,347,0.81,1,6.845,100.0,1
1789899172.4810793,1349,5.02,0.5,1,1,347,347,0.8151,1,8.054,100.0,1
1789899172.5134666,1350,3.99,0.5,1,1,347,347,0.8042,1,7.369,100.0,1
1789899172.5434124,1351,1.03,0.5,1,1,347,347,0.8092,1,7.53,100.0,1
1789899172.5902922,1352,13.97,0.5,1,1,347,347,0.8133,1,7.514,100.0,1
1789899172.6211755,1353,2.99,0.5,1,1,347,347,0.7972,1,8.02,100.0,1
1789899172.6830552,1354,9.02,0.5,1,1,347,347,0.806,1,6.224,100.0,1
1789899172.7134383,1355,4.99,0.5,1,1,347,347,0.803,1,6.129,100.0,1
1789899172.743385,1356,1.02,0.5,1,1,347,347,0.8106,1,7.445,100.0,1
1789899172.7902324,1357,12.96,0.5,1,0,347,347,,,,100.0,1
1789899172.8522797,1358,8.78,0.5,1,0,347,347,,,,100.0,1
1789899172.8837495,1359,7.08,0.5,1,0,347,347,,,,100.0,1
1789899172.9145246,1360,2.03,0.5,1,1,339,339,0.849,1,8.841,100.0,1
1789899172.9454455,1361,3.03,0.5,1,1,339,339,0.7901,1,11.59,100.0,1
1789899173.0224762,1362,14.24,0.5,1,1,339,339,0.7329,1,8.235,100.0,1
1789899173.0543947,1363,11.97,0.5,1,1,339,339,0.72,1,7.49,100.0,1
1789899173.0847113,1364,8.98,0.5,1,1,339,339,0.6968,1,7.455,100.0,1
1789899173.1161423,1365,5.99,0.5,1,1,339,339,0.6634,1,7.351,100.0,1
1789899173.1775632,1366,1.03,0.5,1,1,339,339,0.6556,1,6.283,100.0,1
1789899173.2244048,1367,13.96,0.5,1,1,339,339,0.6358,1,7.648,100.0,1
1789899173.2553225,1368,12.97,0.5,1,1,339,339,0.5865,1,7.77,100.0,1
1789899173.285272,1369,10.0,0.5,1,0,339,339,,,,100.0,1
1789899173.3479617,1370,3.75,0.5,1,0,339,339,,,,100.0,1
1789899173.3803792,1371,1.03,0.5,1,0,339,339,,,,100.0,1
1789899173.4257293,1372,13.47,0.5,1,1,324,324,0.762,1,9.381,100.0,1
1789899173.4496653,1373,5.98,0.5,1,1,324,324,0.7442,1,8.859,100.0,1
1789899173.5200558,1374,8.98,0.5,1,1,324,324,0.7047,1,7.446,100.0,1
1789899173.5509708,1375,10.97,0.5,1,1,324,324,0.6909,1,8.135,100.0,1
1789899173.5818896,1376,8.98,0.5,1,1,324,324,0.6799,1,8.563,100.0,1
1789899173.5988445,1377,13.96,0.5,1,1,324,324,0.6548,1,8.439,100.0,1
1789899173.6741815,1378,1.0,0.5,1,1,324,324,0.5609,1,10.529,100.0,1
1789899173.7200506,1379,11.0,0.5,1,1,324,324,0.5383,1,7.505,100.0,1
1789899173.7509336,1380,10.97,0.5,1,1,324,324,0.4696,1,7.992,100.0,1
1789899173.7828805,1381,9.01,0.5,1,0,324,324,,,,100.0,1
1789899173.858428,1382,14.21,0.5,1,0,324,324,,,,100.0,1
1789899173.8899915,1383,13.47,0.5,1,0,324,324,,,,100.0,1
1789899173.9216719,1384,12.2,0.5,1,1,314,314,0.7899,1,8.771,100.0,1
1789899173.9485707,1385,6.98,0.5,1,1,314,314,0.7909,1,10.239,100.0,1
1789899174.0143912,1386,3.99,0.5,1,1,314,314,0.7287,1,8.183,100.0,1
1789899174.0468147,1387,5.99,0.5,1,1,314,314,0.7005,1,7.563,100.0,1
1789899174.0922284,1388,15.96,0.5,1,1,314,314,0.6834,1,8.185,100.0,1
1789899174.1107526,1389,4.99,0.5,1,1,314,314,0.6452,1,8.304,100.0,1
1789899174.1855626,1390,6.83,0.5,1,1,314,314,0.607,1,6.274,100.0,1
1789899174.2155147,1391,7.01,0.5,1,1,314,314,0.6071,1,6.723,100.0,1
1789899174.2464318,1392,5.02,0.5,1,1,314,314,0.5961,1,8.533,100.0,1
1789899174.2773194,1393,1.0,0.5,1,0,314,314,,,,100.0,1
1789899174.354955,1394,12.82,0.5,1,0,314,314,,,,100.0,1
1789899174.3854806,1395,11.03,0.5,1,0,314,314,,,,100.0,1
1789899174.4170408,1396,9.28,0.5,1,1,297,297,0.8137,1,11.647,100.0,1
1789899174.4488804,1397,7.98,0.5,1,1,297,297,0.8181,1,11.083,100.0,1
1789899174.5263963,1398,9.7,0.5,1,1,297,297,0.8162,1,7.835,100.0,1
1789899174.543349,1399,2.99,0.5,1,1,297,297,0.8211,1,6.165,100.0,1
1789899174.5872633,1401,1.0,0.5,1,1,297,297,0.8278,1,7.564,100.0,1
1789899174.6795573,1402,9.05,0.5,1,1,297,297,0.8163,1,10.64,100.0,1
1789899174.7115066,1403,4.02,0.5,1,1,297,297,0.792,1,11.037,100.0,1
1789899174.7563868,1404,13.0,0.5,1,1,297,297,0.7621,1,7.908,100.0,1
1789899174.7882714,1405,13.93,0.5,1,0,297,297,,,,100.0,1
1789899174.864552,1406,7.99,0.5,1,0,297,297,,,,100.0,1
1789899174.87451,1407,1.04,0.5,1,0,297,297,,,,100.0,1
1789899174.9115062,1408,5.06,0.5,1,0,297,297,,,,100.0,1
1789899174.9421716,1409,1.0,0.5,1,0,297,297,,,,100.0,1
1789899175.019577,1410,10.4,0.5,1,0,297,297,,,,100.0,1
1789899175.049007,1411,8.82,0.5,1,0,297,297,,,,100.0,1
1789899175.080468,1412,4.3,0.5,1,1,301,301,0.7634,1,6.553,100.0,1
1789899175.1103518,1413,3.03,0.5,1,1,301,301,0.7627,1,8.955,100.0,1
1789899175.1870868,1414,4.9,0.5,1,1,301,301,0.7294,1,8.109,100.0,1
1789899175.2190063,1415,10.97,0.5,1,1,301,301,0.7299,1,8.082,100.0,1
1789899175.247927,1416,8.98,0.5,1,1,301,301,0.7167,1,9.165,100.0,1
1789899175.2788732,1417,5.01,0.5,1,1,301,301,0.7396,1,8.468,100.0,1
1789899175.3548918,1418,15.21,0.5,1,1,301,301,0.771,1,8.548,100.0,1
1789899175.3858404,1419,6.01,0.5,1,1,301,301,0.7751,1,6.21,100.0,1
1789899175.4167578,1420,11.0,0.5,1,1,301,301,0.7838,1,7.304,100.0,1
1789899175.4481957,1421,5.0,0.5,1,0,301,301,,,,100.0,1
1789899175.5102448,1422,3.03,0.5,1,0,301,301,,,,100.0,1
1789899175.5567803,1423,13.69,0.5,1,0,301,301,,,,100.0,1
1789899175.58773,1425,2.03,0.5,1,0,301,301,,,,100.0,1
1789899175.6792185,1426,7.09,0.5,1,0,301,301,,,,100.0,1
1789899175.7247643,1427,13.53,0.5,1,0,301,301,,,,100.0,1
1789899175.7408476,1428,1.0,0.5,1,1,307,307,0.773,1,6.444,100.0,1
1789899175.7867634,1429,12.01,0.5,1,1,307,307,0.7724,1,6.228,100.0,1
1789899175.8495011,1430,7.74,0.5,1,1,307,307,0.7582,1,6.164,100.0,1
1789899175.8804598,1431,3.0,0.5,1,1,307,307,0.7534,1,6.222,100.0,1
1789899175.911368,1432,4.02,0.5,1,1,307,307,0.7633,1,6.242,100.0,1
1789899175.9587586,1433,14.99,0.5,1,1,307,307,0.7686,1,7.636,100.0,1
1789899176.020559,1434,13.96,0.5,1,1,307,307,0.7478,1,6.221,100.0,1
1789899176.0510128,1435,11.0,0.5,1,1,307,307,0.726,1,8.136,100.0,1
1789899176.0829263,1436,10.0,0.5,1,1,307,307,0.7215,1,7.873,100.0,1
1789899176.1138177,1437,4.99,0.5,1,0,307,307,,,,100.0,1
1789899176.1893337,1438,13.52,0.5,1,0,307,307,,,,100.0,1
1789899176.2213266,1439,11.52,0.5,1,0,307,307,,,,100.0,1
1789899176.251489,1440,8.69,0.5,1,1,311,311,0.7878,1,8.761,100.0,1
1789899176.279413,1441,4.99,0.5,1,1,311,311,0.8145,1,8.232,100.0,1
1789899176.3579175,1442,10.69,0.5,1,1,311,311,0.8576,1,6.368,100.0,1
1789899176.3878682,1443,13.99,0.5,1,1,311,311,0.8533,1,7.56,100.0,1
1789899176.4188004,1444,11.01,0.5,1,1,311,311,0.8455,1,7.522,100.0,1
1789899176.4506805,1445,7.99,0.5,1,1,311,311,0.8371,1,7.754,100.0,1
1789899176.5125406,1446,6.02,0.5,1,1,311,311,0.8212,1,6.275,100.0,1
1789899176.5439575,1447,3.02,0.5,1,1,311,311,0.8281,1,8.306,100.0,1
1789899176.5898082,1449,4.99,0.5,1,1,311,311,0.8245,1,8.626,100.0,1
1789899176.6983447,1450,0.0,0.5,1,0,311,311,,,,100.0,1
1789899176.7133048,1451,6.98,0.5,1,0,311,311,,,,100.0,1
1789899176.7442205,1452,4.02,0.5,1,0,311,311,,,,100.0,1
1789899176.7752333,1453,1.0,0.5,1,0,311,311,,,,100.0,1
1789899176.8533728,1454,10.43,0.5,1,0,311,311,,,,100.0,1
1789899176.8832037,1455,8.09,0.5,1,0,311,311,,,,100.0,1
1789899176.913949,1456,3.08,0.5,1,1,307,307,0.8206,1,7.901,100.0,1
1789899176.9458141,1457,4.99,0.5,1,1,307,307,0.8189,1,7.253,100.0,1
1789899177.0228977,1458,13.46,0.5,1,1,307,307,0.8304,1,6.435,100.0,1
1789899177.0533593,1459,11.0,0.5,1,1,307,307,0.8219,1,7.549,100.0,1
1789899177.084752,1460,8.98,0.5,1,1,307,307,0.8256,1,8.061,100.0,1
1789899177.1156695,1461,6.98,0.5,1,1,307,307,0.8221,1,7.982,100.0,1
1789899177.1781282,1462,3.04,0.5,1,1,307,307,0.8011,1,6.44,100.0,1
1789899177.2249806,1463,12.99,0.5,1,1,307,307,0.7866,1,8.152,100.0,1
1789899177.2429063,1464,1.0,0.5,1,1,307,307,0.7884,1,7.484,99.0,1
1789899177.2858255,1465,11.01,0.5,1,0,307,307,,,,99.0,1
1789899177.347528,1466,1.05,0.5,1,0,307,307,,,,99.0,1
1789899177.3789008,1467,5.09,0.5,1,0,307,307,,,,99.0,1
1789899177.4095137,1468,1.04,0.5,1,1,313,313,0.836,1,8.989,99.0,1
1789899177.4568546,1469,9.97,0.5,1,1,313,313,0.8423,1,7.954,99.0,1
1789899177.518723,1470,11.0,0.5,1,1,313,313,0.8439,1,7.931,99.0,1
1789899177.550637,1471,10.98,0.5,1,1,313,313,0.8444,1,8.005,99.0,1
1789899177.5805597,1472,2.03,0.5,1,1,313,313,0.8421,1,8.45,99.0,1
1789899177.5975118,1473,12.0,0.5,1,1,313,313,0.8309,1,8.19,99.0,1
1789899177.6744676,1474,4.04,0.5,1,1,313,313,0.8157,1,6.634,99.0,1
1789899177.721324,1475,13.99,0.5,1,1,313,313,0.8116,1,8.54,99.0,1
1789899177.7527964,1476,5.98,0.5,1,1,313,313,0.8058,1,7.754,99.0,1
1789899177.7837427,1477,11.0,0.5,1,0,313,313,,,,99.0,1
1789899177.845115,1478,3.22,0.5,1,0,313,313,,,,99.0,1
1789899177.8911936,1479,13.07,0.5,1,0,313,313,,,,99.0,1
1789899177.9223871,1480,12.24,0.5,1,1,311,311,0.7847,1,8.892,99.0,1
1789899177.9482696,1481,5.98,0.5,1,1,311,311,0.7928,1,9.88,99.0,1
1789899178.0160875,1482,8.98,0.5,1,1,311,311,0.7978,1,6.502,99.0,1
1789899178.0465128,1483,4.99,0.5,1,1,311,311,0.8063,1,7.54,99.0,1
1789899178.0938914,1484,11.97,0.5,1,1,311,311,0.8063,1,7.492,99.0,1
1789899178.1098487,1485,1.0,0.5,1,1,311,311,0.7978,1,8.356,99.0,1
1789899178.1870177,1486,11.88,0.5,1,1,311,311,0.7866,1,8.53,99.0,1
1789899178.2179737,1487,9.01,0.5,1,1,311,311,0.7794,1,9.03,99.0,1
1789899178.2478871,1488,8.01,0.5,1,1,311,311,0.7856,1,7.335,99.0,1
1789899178.2788193,1489,3.03,0.5,1,0,311,311,,,,99.0,1
1789899178.355504,1490,14.89,0.5,1,0,311,311,,,,99.0,1
1789899178.3861568,1491,11.45,0.5,1,0,311,311,,,,99.0,1
1789899178.416402,1492,8.73,0.5,1,1,312,312,0.6913,1,8.742,99.0,1
1789899178.4438465,1493,2.0,0.5,1,1,312,312,0.6953,1,10.306,99.0,1
1789899178.523976,1494,14.31,0.5,1,1,312,312,0.7112,1,9.677,99.0,1
1789899178.5554047,1495,9.97,0.5,1,1,312,312,0.749,1,6.211,99.0,1
1789899178.586322,1497,1.99,0.5,1,1,312,312,0.7868,1,6.336,99.0,1
1789899178.6788008,1498,7.34,0.5,1,1,312,312,0.7936,1,8.515,99.0,1
1789899178.7096674,1499,1.99,0.5,1,1,312,312,0.7859,1,9.952,99.0,1
1789899178.7561493,1500,12.0,0.5,1,1,312,312,0.7784,1,8.304,99.0,1
1789899178.7860794,1501,9.97,0.5,1,0,312,312,,,,99.0,1
1789899178.8468566,1502,2.05,0.5,1,0,312,312,,,,99.0,1
1789899178.8778071,1503,3.97,0.5,1,0,312,312,,,,99.0,1
1789899178.9238281,1504,14.3,0.5,1,0,312,312,,,,99.0,1
1789899178.9551709,1505,13.39,0.5,1,0,312,312,,,,99.0,1
1789899179.0160215,1506,6.29,0.5,1,0,312,312,,,,99.0,1
1789899179.0472004,1507,7.6,0.5,1,0,312,312,,,,99.0,1
1789899179.0772064,1508,4.8,0.5,1,1,314,314,0.8643,1,6.518,99.0,1
1789899179.122797,1509,11.97,0.5,1,1,314,314,0.8717,1,8.019,99.0,1
1789899179.1836753,1510,5.03,0.5,1,1,314,314,0.8777,1,6.46,99.0,1
1789899179.2145512,1511,4.99,0.5,1,1,314,314,0.8836,1,6.566,99.0,1
1789899179.2454827,1512,3.99,0.5,1,1,314,314,0.8893,1,8.148,99.0,1
1789899179.2923577,1513,12.96,0.5,1,1,314,314,0.9002,1,7.382,98.0,1
1789899179.3532412,1514,13.01,0.5,1,1,314,314,0.8971,1,8.167,98.0,1
1789899179.3851385,1515,8.01,0.5,1,1,314,314,0.854,1,7.702,98.0,1
1789899179.4160619,1516,8.01,0.5,1,1,314,314,0.8573,1,14.844,98.0,1
1789899179.446455,1517,3.99,0.5,1,0,314,314,,,,98.0,1
1789899179.5089955,1518,1.01,0.5,1,0,314,314,,,,98.0,1
1789899179.5546448,1519,12.93,0.5,1,0,314,314,,,,98.0,1
1789899179.5856388,1521,0.0,0.5,1,0,314,314,,,,98.0,1
1789899179.678918,1522,5.02,0.5,1,0,314,314,,,,98.0,1
1789899179.709499,1523,1.03,0.5,1,0,314,314,,,,98.0,1
1789899179.7549493,1524,14.42,0.5,1,1,313,313,0.8865,1,7.768,98.0,1
1789899179.779917,1525,7.01,0.5,1,1,313,313,0.894,1,9.783,98.0,1
1789899179.8482401,1526,9.51,0.5,1,1,313,313,0.9092,1,7.295,98.0,1
1789899179.8811529,1527,6.98,0.5,1,1,313,313,0.901,1,8.582,98.0,1
1789899179.9110725,1528,3.99,0.5,1,1,313,313,0.9113,1,8.612,98.0,1
1789899179.9569492,1529,13.96,0.5,1,1,313,313,0.9039,1,7.862,98.0,1
1789899180.0177863,1530,11.97,0.5,1,1,313,313,0.9053,1,8.201,98.0,1
1789899180.048213,1531,6.49,0.5,1,1,313,313,0.9062,1,7.692,98.0,1
1789899180.0806327,1532,4.99,0.5,1,1,313,313,0.8886,1,8.297,98.0,1
1789899180.1105525,1533,1.99,0.5,1,0,313,313,,,,98.0,1
1789899180.1891854,1534,12.25,0.5,1,0,313,313,,,,98.0,1
1789899180.219708,1535,5.96,0.5,1,0,313,313,,,,98.0,1
1789899180.250888,1536,8.09,0.5,1,1,311,311,0.8212,1,9.138,98.0,1
1789899180.2807722,1537,1.99,0.5,1,1,311,311,0.8345,1,10.68,98.0,1
1789899180.3426063,1538,2.99,0.5,1,1,311,311,0.8611,1,8.5,98.0,1
1789899180.388992,1539,14.96,0.5,1,1,311,311,0.8667,1,8.153,98.0,1
1789899180.4189112,1540,10.97,0.5,1,1,311,311,0.8584,1,8.766,98.0,1
1789899180.449863,1541,7.02,0.5,1,1,311,311,0.8456,1,7.611,98.0,1
1789899180.511723,1542,1.06,0.5,1,1,311,311,0.8336,1,6.579,98.0,1
1789899180.5425816,1543,1.0,0.5,1,1,311,311,0.81,1,6.831,98.0,1
1789899180.587972,1545,2.99,0.5,1,1,311,311,0.7578,1,6.961,98.0,1
1789899180.6815689,1546,7.0,0.5,1,0,311,311,,,,98.0,1
1789899180.712272,1547,4.52,0.5,1,0,311,311,,,,98.0,1
1789899180.7434056,1548,0.97,0.5,1,0,311,311,,,,98.0,1
1789899180.7753959,1549,1.03,0.5,1,0,311,311,,,,98.0,1
1789899180.851407,1550,10.16,0.5,1,0,311,311,,,,98.0,1
1789899180.8825965,1551,8.38,0.5,1,0,311,311,,,,98.0,1
1789899180.913487,1552,6.0,0.5,1,1,317,317,0.823,1,7.924,98.0,1
1789899180.9599378,1553,14.53,0.5,1,1,317,317,0.8184,1,6.28,98.0,1
1789899181.0219083,1554,15.1,0.5,1,1,317,317,0.8394,1,6.792,98.0,1
1789899181.053452,1555,11.59,0.5,1,1,317,317,0.8458,1,6.295,98.0,1
1789899181.0853627,1556,12.0,0.5,1,1,317,317,0.8613,1,7.831,98.0,1
1789899181.1162748,1557,8.01,0.5,1,1,317,317,0.8393,1,7.963,98.0,1
1789899181.179109,1558,5.02,0.5,1,1,317,317,0.818,1,6.333,98.0,1
1789899181.2089934,1559,2.0,0.5,1,1,317,317,0.8089,1,8.298,98.0,1
1789899181.2558684,1560,13.96,0.5,1,1,317,317,0.7947,1,7.3,98.0,1
1789899181.2868183,1561,13.96,0.5,1,0,317,317,,,,97.0,1
1789899181.317703,1562,10.97,0.5,1,0,317,317,,,,97.0,1
1789899181.3797324,1563,2.99,0.5,1,0,317,317,,,,97.0,1
1789899181.411141,1564,1.96,0.5,1,1,328,328,0.8238,1,8.938,97.0,1
1789899181.4565322,1565,14.47,0.5,1,1,328,328,0.8239,1,10.422,97.0,1
1789899181.477509,1566,3.03,0.5,1,1,328,328,0.8221,1,7.927,97.0,1
1789899181.5495605,1567,8.17,0.5,1,1,328,328,0.8173,1,6.352,97.0,1
1789899181.579456,1568,5.03,0.5,1,1,328,328,0.8185,1,6.915,97.0,1
1789899181.5944078,1569,8.01,0.5,1,1,328,328,0.8114,1,8.029,97.0,1
1789899181.6422846,1570,1.04,0.5,1,1,328,328,0.7926,1,6.998,97.0,1
1789899181.7193172,1571,13.31,0.5,1,1,328,328,0.8067,1,8.568,97.0,1
1789899181.7507527,1572,10.45,0.5,1,1,328,328,0.8143,1,8.091,97.0,1
1789899181.7811875,1573,7.01,0.5,1,0,328,328,,,,97.0,1
1789899181.8111143,1574,5.99,0.5,1,0,328,328,,,,97.0,1
1789899181.8880281,1575,13.41,0.5,1,0,328,328,,,,97.0,1
1789899181.9182992,1576,7.05,0.5,1,1,339,339,0.8161,1,8.717,97.0,1
1789899181.945155,1577,2.99,0.5,1,1,339,339,0.8129,1,10.09,97.0,1
1789899181.9815717,1578,9.98,0.5,1,1,339,339,0.8116,1,7.961,97.0,1
1789899182.056778,1579,14.36,0.5,1,1,339,339,0.8168,1,8.582,97.0,1
1789899182.0772436,1580,1.0,0.5,1,1,339,339,0.8181,1,7.091,97.0,1
1789899182.119164,1581,11.0,0.5,1,1,339,339,0.8159,1,7.871,97.0,1
1789899182.1500804,1582,8.01,0.5,1,1,339,339,0.7965,1,8.112,97.0,1
1789899182.21251,1583,6.03,0.5,1,1,339,339,0.8116,1,6.382,97.0,1
1789899182.243384,1584,1.0,0.5,1,1,339,339,0.8171,1,6.397,97.0,1
1789899182.2892597,1585,13.96,0.5,1,0,339,339,,,,97.0,1
1789899182.3213534,1586,12.11,0.5,1,0,339,339,,,,97.0,1
1789899182.384147,1587,1.03,0.5,1,0,339,339,,,,97.0,1
